uuid,weight,sex,age,edu,region,age_band,occupation,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q29_1,Q29_2,Q30
1ab1fc84a8be466ba7f04ad689397ca2,1.8362,남성,30,대학교 졸업,경기,30-39,화학물 증류기 및 반응기 조작원,2,3>4,3,4>4>4,3>3>3,4>4>4,2,3,2,1>2>9,38>34>35,63>57>56,38>27>34,1,4,1,3,,"요즘 공장 기계들이 다 컴퓨터로 제어되는데, 사이버 테러나 전산망 마비 같은 일이 터지면 정말 큰일 날 것 같아요. 그리고 예전 같지 않게 날씨 급변하는 게 자주 있어서, 갑자기 쏟아지는 비나 폭염 같은 것도 미리 대비가 필요하다고 생각합니다."
25e9976290b7447faaf8bb03628e51d7,1.8155,남성,47,고졸 이하,경기,40-49,회계 사무원,2,2>3,3,5>5>5,4>4>4,5>5>5,3,4,2,1>2>9,34>29>27,56>57>58,1>34>29,1,3,2,0,7,최근 기후 변화로 인해 예측하기 힘든 태풍과 폭우가 자주 발생하고 있어 이에 대한 대비가 시급하다고 생각합니다. 또한 거주 지역의 노후화된 건축물과 시설들에서 발생할 수 있는 화재나 가스 사고도 잠재적인 위험 요인이라고 봅니다.
fe7b3ee78c5e40058213e268aba6f6f1,0.6041,여성,19,고졸 이하,충북,19-29,무직,2,4>3,3,4>4>4,3>3>3,4>4>4,3,4,2,2>14>9,27>34>29,56>57>67,27>2>14,1,3,2,0,1,"요즘 인공지능 기술이 발전하면서 딥페이크나 보이스피싱 같은 범죄가 늘어나고 있는데, 이런 디지털 기술을 악용한 사회재난이 점점 더 위험해지는 것 같습니다. 그리고 갑작스러운 기상 이변으로 인한 집중호우도 예측하기 힘들어서 걱정됩니다."
a4b16251dce74400b8669a1c99e3d12a,0.8341,여성,38,대학교 졸업,충남,30-39,경리 사무원,2,3>2,3,5>5>5,4>4>4,5>5>5,3,4,2,2>1>9,27>34>29,57>62>60,2>27>34,1,4,1,15,,"최근 기후 변화로 인해 예측 불가능한 태풍과 홍수가 자주 발생하고 있어, 이로 인한 농작물 피해와 주거 침수가 가장 큰 잠재적 위험요인이라고 생각합니다. 또한, 고령화 사회로 접어들면서 독거노인이나 어린이를 대상으로 한 안전사고가 증가하고 있어 이에 대한 선제적인 관리도 필요하다고 봅니다."
b30aa489209d4301bcac593a40930105,0.4514,남성,52,고졸 이하,제주,50-59,시설 경비원,2,2>3,3,4>4>4,4>4>4,4>4>4,4,4,1,1>13>2,34>27>29,56>57>58,1>34>27,1,3,2,0,1,요즘 날씨가 너무 변덕스러워져서 예전보다 더 강한 태풍이나 갑작스러운 폭우가 내리면 큰일이 날 것 같습니다. 또 저처럼 혼자 사는 사람이 많은 낡은 다세대주택에서 전기나 가스로 인한 화재가 발생하면 속수무책일 것 같아 걱정됩니다.
52028679a27643cfb7512c84a4772942,1.5626,남성,26,대학교 졸업,서울,19-29,산업 안전원,3,3>4,3,5>5>4,4>4>4,5>5>4,3,5,2,3>1>9,34>46>29,63>57>56,63>34>3,1,3,1,12,0,기후변화로 인한 도시 내 폭염과 열대야가 건설 현장 등 옥외 근로자의 건강을 직접적으로 위협하는 재난이 될 것이라 생각합니다. 또한 인구 고령화와 맞물려 고령 운전자에 의한 교통사고나 거주지 내 안전사고 위험도 점점 커지고 있는 것 같습니다.
ed03abf878cd46a9abe708f551ebecd7,0.6007,여성,42,고졸 이하,울산,40-49,무직,2,4>2,3,4>4>4,3>3>3,4>4>4,3,4,2,1>9>2,27>34>29,56>57>60,27>1>34,1,3,2,,9,요즘 인공지능을 이용한 보이스피싱이나 딥페이크 같은 범죄가 너무 많아져서 걱정입니다. 또 울산처럼 공장이 많은 곳은 갑작스러운 화학 물질 누출 사고에 대한 대비도 항상 철저히 해야 할 것 같아요.
56c4ea57268b4e71b363da3bd8d808bc,1.3971,남성,28,고졸 이하,인천,19-29,무직,2,3>4,3,4>4>4,3>3>3,3>3>3,2,4,2,1>2>9,27>34>29,56>57>58,27>1>34,1,4,1,3,,요즘 스마트폰으로 하는 보이스피싱이나 해킹 같은 사이버 범죄가 기술이 발전할수록 더 교묘해져서 큰 위협인 것 같습니다. 그리고 갑자기 덮치는 무더위나 장마 때문에 건강을 잃거나 침수되는 일도 걱정돼요.
06dbaec02e084a64a46105137fa8f3b7,0.6625,남성,37,대학교 졸업,전북,30-39,무직,2,4>3,3,4>4>4,3>3>3,4>4>3,2,4,2,1>2>13,34>35>29,56>57>63,34>1>56,1,3,2,0,8,제가 사는 오래된 아파트는 내진 설계가 미흡해서 지진이나 큰 비가 올 때 무너질까 봐 항상 불안합니다. 또한 가스관이나 배선 등 노후된 설비로 인한 화재 사고가 언제든 터질 수 있는 잠재적인 시한폭탄 같다고 생각합니다.
ff01d88cbb3c45eba3ca9a3dce544d95,1.6841,여성,42,대학교 졸업,서울,40-49,무직,2,3>4,3,5>5>5,4>4>4,5>5>5,3,5,2,13>1>9,27>34>51,58>56>67,27>13>34,1,3,2,,3,최근 기후 변화로 인해 북한산 등산 시 예측하기 힘든 국지성 호우나 돌발 산사태의 위험이 커지고 있다고 느낍니다. 또한 일상 속에서 눈에 잘 보이지 않는 유해 화학 물질이나 미세 플라스틱 같은 환경적 요인이 장기적으로 건강에 미칠 영향도 재난 수준으로 관리되어야 한다고 생각합니다.
59cd9aba604a400ea5b1774b1b5f7eae,0.5873,남성,33,대학교 졸업,부산,30-39,청소년 지도사,2,3>4,3,4>5>4,3>4>4,4>5>4,3,4,2,1>2>9,27>34>29,56>59>58,1>27>34,1,4,1,3,0,"인공지능 기술의 발달로 인한 딥페이크 등 디지털 성범죄가 청소년들에게 심각한 위협이 되고 있어, 이를 사회적 재난 차원에서 관리할 필요가 있다고 느낍니다. 또한 기후변화로 인해 예측하기 힘든 국지성 호우나 폭염이 빈번해지고 있어 이에 대한 대비도 시급합니다."
d3c8f8d04bbf4b4dbaf32da9b0e32926,1.1544,여성,65,고졸 이하,인천,60-69,무직,2,2>4,3,5>5>5,3>3>3,5>5>5,3,4,2,1>2>9,27>34>51,56>57>68,27>1>51,1,3,2,0,8,"요즘 스마트폰을 이용한 보이스피싱이나 AI 기술을 활용한 새로운 사기 수법이 늘어나서, 우리 같은 어르신들이 당하기 쉬워 위험해요. 그리고 기후 변화로 인한 예측 불가능한 폭염이나 집중호우도 자꾸 반복되니 이것도 큰 위험요인 같습니다."
bb8e2554cb02418693955ee112ce4f47,0.4420,여성,32,대학교 졸업,대전,30-39,보험 사무원,2,3>4,3,5>5>5,4>4>3,5>5>5,3,5,2,2>9>1,27>34>29,56>57>64,27>34>2,1,3,2,,8,"요즘 날씨가 너무 이상해서 갑자기 쏟아지는 비로 인해 우리 동네 골목이나 아이가 다니는 학교 주변이 침수될까 봐 걱정돼요. 그리고 보험 사무원으로 일하면서 보니, 온라인상의 보이스피싱이나 해킹 같은 디지털 재난도 점점 더 교묘해져서 일반 사람들이 당하기 쉬운 것 같아 위험하게 느껴집니다."
d17516bfe9004760b3b96bdba077a753,1.1175,여성,42,대학원 졸업,부산,40-49,공학·제조 및 건설 분야 교수,4,3>5,3,5>5>5,4>4>4,5>5>5,2,5,3,1>2>9,34>51>46,63>56>57,63>34>1,1,4,1,4,0,"급변하는 기후 환경 속에서 기존 인프라를 견디지 못하는 도시형 재난과, 스마트 팩토리 등 고도화된 산업 현장에서 발생할 수 있는 사이버 물리 공격 등 신유형의 기술적 위험 요인들이 잠재적으로 큰 위협이 될 수 있다고 생각합니다."
216392f650bb4646a24a3c7d5a90a0aa,0.8368,여성,32,대학교 졸업,경북,30-39,무직,2,2>3,3,4>4>4,3>3>3,4>4>4,3,4,2,14>1>2,27>34>40,57>56>61,14>27>34,1,3,2,,3,"지구온난화로 인한 이상 기후로 갑작스러운 태풍이나 홍수 피해가 걱정되고, 요즘은 스마트폰을 많이 사용하다 보니 가정주부나 어르신들을 대상으로 한 보이스피싱 같은 디지털 범죄도 위험한 요인이라고 생각합니다."
422f3bc7748949bc915dc49acd9c1c66,1.8155,남성,46,대학교 졸업,경기,40-49,사무 보조원,2,2>3,3,4>4>4,3>3>3,4>4>4,2,3,2,13>1>2,35>38>34,63>56>57,13>35>63,1,3,2,,1,최근 날씨가 이상해서 여름철에 장마가 오면 동네 저지대가 침수되거나 산사태가 날까 봐 걱정됩니다. 그리고 공장 기계들이 점점 낡아가는데 가스가 새거나 고장 나서 사고가 나지 않을까 하는 불안도 듭니다.
36c37579b2a1414183399e4fafe9b82b,0.6779,여성,60,고졸 이하,강원,60-69,무직,2,2>1,3,4>4>5,3>3>4,5>5>5,2,4,2,1>2>21,27>34>29,56>57>58,1>27>34,1,3,2,,1,요즘 날씨가 변덕스러워져서 바닷가에 큰 파도가 덮치거나 무더위가 너무 심해져서 건강 관리가 힘들어질까 봐 걱정됩니다. 그리고 우리처럼 낡은 아파트에서는 가스나 전기 사고 같은 생활 속 위험도 더 조심해야 할 것 같아요.
e79557fdd96c484e96db780ac60337a5,1.7593,여성,22,대학교 졸업,서울,19-29,그 외 음료 조리사,2,4>3,3,4>5>5,4>4>4,4>4>5,3,4,2,2>9>13,34>27>29,56>57>64,34>27>2,1,4,1,4,,"최근 기후 변화로 인해 예측하기 힘든 국지성 호우나 폭염 같은 이상 기후 현상이 점점 잦아지고 있어서 이를 새로운 잠재적 위험요인으로 생각합니다. 또한 일상생활에서 빼놓을 수 없는 인공지능이나 IT 기술의 오작동, 혹은 그로 인한 사이버 보안 문제도 앞으로 중요한 위험 요소가 될 것 같아요."
27b596b36369440eb35d36fc07507ed1,1.9614,여성,49,대학교 졸업,경기,40-49,시각장애인 특수교육 교사,3,3>2,3,5>5>5,4>4>4,5>5>5,2,5,2,2>9>13,27>34>29,56>57>64,27>2>34,1,3,2,0,7,"급격한 고령화와 기후 변화로 인한 집중호우가 예상됨에도 불구하고, 거주지 주변의 배수 시설이나 노후화된 지하 공간에 대한 안전 점검이 부족하다고 느껴집니다. 또한, 디지털 기술 발달에 따라 시각장애인 등 장애인들이 재난 상황에서 재난 정보를 제때 접하지 못해 대피하지 못하는 '정보의 소외' 문제도 큰 잠재적 위험요인이라고 생각합니다."
6e70a462900e4edeaa018c68f4df605c,0.5767,여성,20,대학교 졸업,전남,19-29,지게차 운전원,2,3>2,3,5>5>5,4>4>4,5>5>5,4,4,2,1>2>13,34>35>27,63>56>57,1>63>34,1,4,1,15,0,"최근 기후 변화로 인해 태풍이나 폭우 같은 자연재난의 강도가 점점 더 세지고 예측하기 힘들어지는 것 같아 걱정됩니다. 그리고 AI 기술이 발전하면서 보이스피싱이나 딥페이크 같은 범죄가 일상생활의 큰 위협이 되고 있는데, 이런 부분도 재난으로 관리가 필요하다고 느낍니다."
a0bf11c4acc44a27bea66ba1498111f5,0.9399,남성,57,대학원 졸업,인천,50-59,기업 고위 임원,4,3>2,3,5>5>5,4>4>4,5>5>5,3,5,2,1>2>14,51>50>27,56>57>58,51>50>1,1,3,2,,1,고령화와 디지털 기술의 발전으로 인해 AI 기반의 보이스피싱이나 사이버 테러 같은 새로운 형태의 사회재난이 증가할 것입니다. 또한 노후화된 도시 기반시설과 기후 변화에 따른 국지적 호우로 인한 지반 침하 같은 도시형 재난도 정부가 선제적으로 관리해야 할 잠재적 위험요인입니다.
916d3554fb504222aa3ada9697d35828,1.7663,남성,61,고졸 이하,경기,60-69,건물 경비원,2,2>3,3,5>5>5,3>3>3,4>4>4,3,4,2,1>2>9,34>35>29,56>57>68,34>56>1,1,3,2,,12,요즘 날씨가 예전 같지 않아서 장마철에 갑자기 쏟아지는 폭우로 인한 침수나 산사태가 항상 걱정됩니다. 그리고 우리 아파트처럼 지어진 지 오래된 단지들은 노후된 전기나 가스 설비로 인한 화재 사고도 잠재적인 위험요인이라고 생각합니다.
6ce8bd5295f24fb7a8e4749da9ca72b9,0.3847,여성,45,고졸 이하,대전,40-49,무직,2,2>3,3,5>5>5,4>4>4,5>5>5,3,5,2,1>2>9,27>34>29,56>57>60,27>34>1,1,3,2,,8,"날씨가 점점 이상해져서 태풍이나 폭우 같은 게 예전보다 더 위험해질 것 같고, 요즘 핸드폰으로 하루 종일 뉴스를 보니 AI 딥페이크 같은 기술을 악용한 사기 범죄도 재난급으로 관리가 필요해 보입니다."
ca01ddb750ae4c4ca7a058616f6e93f6,1.5143,남성,63,고졸 이하,서울,60-69,무직,2,2>4,3,5>5>5,4>4>4,5>5>5,3,4,2,1>2>9,34>29>27,56>57>68,34>1>2,1,3,2,0,8,"요즘 스마트폰을 이용한 보이스피싱이나 금융 사기 같은 디지털 범죄가 너무 교묘해져서 일반인이 당하기 쉬운 잠재적 위험이라고 생각합니다. 또한, 나이가 들면서 집 근처 공원이나 산에서 혼자 걷다가 다치거나 응급 상황이 발생했을 때를 대비한 안전 장치가 더 필요하다고 느낍니다."
3be9206b6dff42a290d218c02247f36e,0.4420,여성,34,대학원 졸업,대전,30-39,소규모 상점 경영자,2,3>2,3,5>5>5,4>4>4,5>5>5,3,4,2,1>2>9,34>51>27,56>57>60,34>1>51,1,4,1,4,,"기후 변화로 인한 도심 내 집중호우와 도시 침수가 빈번해지고 있어, 노후화된 지하도와 빗물 펌프장 등 도시 기반 시설에 대한 선제적인 점검이 필요하다고 생각합니다. 또한 비대면 경제가 확대됨에 따라 영세 자영업자나 개인을 겨냥한 고도화된 사이버 금융 사고도 심각한 잠재적 위험요인으로 관리되어야 합니다."
7f8a4bd9ffb5456aa1eda45ee4cfe57a,1.6426,남성,48,고졸 이하,서울,40-49,음식 서비스 종사원,1,2>4,3,5>5>5,3>3>3,4>4>4,3,4,2,1>2>9,27>34>29,57>56>64,34>27>1,1,3,2,,8,요즘 날씨가 이상해서 여름마다 장마가 아닌 갑작스러운 폭우가 쏟아져서 저수지나 둔치가 넘칠까 봐 걱정됩니다. 그리고 저희가 사는 아파트도 건축된 지 오래돼서 가스 배관이나 전기 설비 노후화로 인한 화재 사고도 언제든 터질 수 있는 잠재적 위험인 것 같습니다.
21b3feedf5b6467e89de6960a85aa0ab,1.1815,남성,38,대학교 졸업,서울,30-39,품질 인증 심사 전문가,3,3>5,3,5>5>5,4>4>4,5>5>5,3,5,4,1>14>9,51>50>42,56>63>57,51>1>56,1,3,2,,8,AI 기술의 악용이나 딥페이크와 같은 디지털 기반의 사이버 범죄가 실물 안전을 위협하는 잠재적 위험요인이라고 생각합니다. 또한 고령화된 도심 인프라에서 인적 실수로 인한 대형 사고를 예방하기 위해 스마트한 관리 기술의 도입이 시급합니다.
9e3629e461294c84b8875173409b03d3,0.2050,여성,55,대학교 졸업,세종,50-59,무직,3,4>2,3,5>5>5,4>4>4,5>5>5,3,5,2,1>2>9,27>34>51,56>57>60,27>34>1,1,4,1,7,,"독거 노인 등 안전 취약 계층을 위한 맞춤형 재난 교육 부재, 그리고 급변하는 기후 환경에 따른 도시 내 생활 안전 사고가 잠재적 위험 요인이라고 생각합니다."
d1705adae51c4dd3aefca20dd23c44b2,0.9048,남성,48,대학교 졸업,경남,40-49,마케팅 전문가,3,4>3,3,5>5>5,4>4>4,5>5>5,2,4,2,1>2>13,34>27>29,56>57>68,1>34>27,1,3,2,0,8,"지역 상권의 노후화로 인한 화재 위험과 고령화 사회에서 재난 대처 능력이 부족한 취약계층의 안전 문제가 큽니다. 또한, 최근 기후 변화로 인한 예측 불가능한 집중호우나 폭염 같은 기상 이변도 잠재적 위험으로 관리되어야 합니다."
7a0b226726fa425b9915449f39c3be09,1.8362,남성,30,대학교 졸업,경기,30-39,사무 보조원,2,3>4,3,5>5>5,4>4>4,5>5>5,2,5,2,1>2>3,34>29>51,56>57>58,34>1>29,1,3,2,0,8,"최근 기술이 발전하면서 보이스피싱이나 해킹 같은 사이버 범죄가 더 정교해지고 있어서, 개인정보 유출로 인한 금전 피해가 잠재적 위험요인이라고 생각합니다. 또한 기후 변화로 인한 폭염이나 집중호우가 해마다 심해지고 있어서, 이로 인한 건강 문제나 주거 침수도 걱정되는 부분입니다."
8b826691637240b186db07bcc5b30af7,0.6014,여성,37,대학교 졸업,전북,30-39,그 외 교육 전문가,3,3>2,3,5>5>5,4>4>4,5>5>5,3,4,2,1>21>2,27>29>34,57>56>59,1>27>34,1,3,2,0,1,"급격한 기후 변화로 인한 이상 기후가 일상생활과 건강에 미칠 영향, 그리고 고령화 사회로 진입함에 따른 돌봄 공백이나 의료 안전 사고 같은 사회적 위험 요인이 잠재적으로 크다고 생각합니다."
efdd37721833492c8c4e5284033e7d3e,0.5354,여성,39,대학원 졸업,강원,30-39,그 외 제품 디자이너,3,3>4,3,4>4>5,3>3>4,4>4>5,3,4,2,2>3>13,34>27>42,57>60>56,2>34>27,1,4,1,7,,"기후변화로 인한 기이 기상이 잦아지면서, 산악 지형의 특성상 집중호우에 따른 산사태와 소하천 범람이 우려됩니다. 또한 고령화된 주거 환경에서 발생할 수 있는 생활 내 안전사고도 예의주시해야 할 잠재적 위험요인이라고 생각합니다."
df901f2ec50641b39defdc04d71b4716,0.8396,여성,41,고졸 이하,인천,40-49,그 외 돌봄 및 보건 서비스 종사원,2,2>3,3,4>4>5,3>3>4,4>5>5,3,4,2,1>2>9,27>34>29,56>57>68,27>34>1,1,3,2,0,8,요즘 핸드폰으로 하는 보이스피싱이나 AI 기술을 악용한 사기가 점점 정교해져서 일반인들이 속쉽게 당하는 게 위험합니다. 그리고 갑자기 변하는 날씨 때문에 예상치 못한 사고도 걱정됩니다.
b171293a65fb4f66864744e5917111b7,0.5847,여성,39,고졸 이하,전남,30-39,건물 청소원,1,2>4,3,4>4>5,3>3>4,4>4>5,3,4,2,1>2>9,34>27>29,56>57>60,34>1>27,1,3,2,,8,우리 동네는 오래된 건물이 많고 골목이 좁아서 화재가 나면 대피하기 힘들지 않을까 하는 걱정이 항상 듭니다. 또한 요즘은 예전처럼 날씨 예측이 잘 안 되는 것 같아서 갑자기 쏟아지는 비나 폭염 같은 기상재해도 더 위험하게 느껴집니다.
3c56739b7f8b469aac1e57eca5555978,0.9048,남성,46,고졸 이하,경남,40-49,그 외 기계 조작원,2,2>3,3,5>5>5,4>4>4,4>5>4,3,4,2,2>3>1,34>29>35,63>56>57,34>63>2,1,4,2,,1,오래된 건물이나 지하 설비들이 많아지는데 이를 관리할 기술이나 예산이 부족하면 대형 사고로 이어질 수 있는 위험이 있다고 생각합니다. 또 요즘처럼 예측하기 힘든 기상 이변도 큰 위험 요인인 것 같습니다.
8de68bd83b7f4af1a2e361fe01b691c7,0.8368,여성,37,대학교 졸업,경북,30-39,마케팅 전문가,2,2>4,3,5>5>5,4>4>4,5>5>5,3,4,2,14>9>1,27>29>34,56>57>60,14>27>29,1,4,1,4,0,"최근 AI 기술이 발전하면서 보이스피싱이나 딥페이크 같은 사이버 범죄가 점점 정교해지고 있어서, 이에 대한 대비가 시급한 잠재적 위험요인이라고 생각합니다. 또한 기후 변화로 인해 예측하기 힘든 국지성 호우나 폭염 같은 기상 이변도 우리 일상에 큰 위협이 될 것 같습니다."
793874e2810d4d9fa449acbdf155f102,1.1815,남성,34,대학교 졸업,서울,30-39,철도운송 관련 종사원,3,3>2,3,5>5>4,4>4>3,4>5>4,4,5,1,13>2>14,31>29>34,56>57>58,31>34>29,1,3,2,,8,"서울과 같은 대도시의 고밀도 주거 환경과 노후화된 건축물에서 발생할 수 있는 대형 화재 및 붕괴 사고가 우려됩니다. 또한, 기후변화로 인한 집중호우가 도시 배수 시스템을 넘어설 경우 발생하는 침수 피해도 선제적으로 관리해야 할 위험 요인입니다."
210ef1c2c8634448b14a6b08361029ff,1.0752,남성,19,고졸 이하,대구,19-29,무직,2,4>3,3,5>5>5,4>4>4,5>5>5,3,4,2,1>13>9,34>51>29,57>58>56,34>57>51,1,3,2,,8,우리 동네는 낡은 단독주택이 많아서 노후된 배관이나 전기 문제로 가스 폭발이나 화재가 날까 봐 제일 걱정돼요. 그리고 요즘은 스마트폰으로 보이스피싱이나 해킹 같은 사이버 범죄도 많아서 이것도 미리 막아야 할 위험인 것 같아요.
df0e4689489a44269ace2d56132fccba,1.8362,남성,32,대학교 졸업,경기,30-39,지게차 운전원,2,4>2,3,5>5>5,4>4>4,4>4>4,3,4,2,1>2>9,29>34>27,63>56>57,63>29>1,1,4,1,4,0,"미세먼지나 갑자기 유행하는 신종 바이러스 같은 눈에 잘 보이지 않는 위험들이 조금 걱정됩니다. 그리고 일터에서 기계가 점점 많아지는데, 기계가 오작동하거나 고장 났을 때 사람이 빠르게 대처하지 못하면 큰 사고로 이어질 것 같아요."
51e8341e2ace4e83aa3c4bec2c361c3c,0.6560,여성,27,대학원 졸업,인천,19-29,무직,3,3>4,3,5>5>5,4>4>4,5>5>5,3,4,2,1>2>9,27>34>41,56>68>57,27>1>41,1,3,2,0,10,"기후 변화로 인한 이상 기후가 취약계층의 거주 환경과 건강에 미칠 영향, 그리고 고령화 사회에서 재난 발생 시 정보 접근성이 부족한 독거 노인 등 소외된 이들의 안전 사각지대가 심각한 잠재적 위험요인이라고 생각합니다."
2fc45faf924d42f9a15d4d91e8fe3b81,0.2780,여성,39,고졸 이하,제주,30-39,무직,2,2>3,3,5>5>5,4>4>4,5>5>5,3,4,2,1>2>23,27>34>29,56>57>58,1>27>34,1,3,2,,1,"기후 변화로 인해 예측 불가능해진 태풍과 국지성 호우가 제주의 가장 큰 잠재적 위험요인이라고 생각하며, 최근 가정주부들을 겨냥한 보이스피싱 같은 사이버 범죄도 심각한 위협이 되고 있습니다."
04ce917bca254851b70196ba0413e78e,0.6423,여성,26,대학교 졸업,전북,19-29,화장품 판매원,2,4>3,3,5>5>5,4>4>4,5>5>5,2,4,2,1>2>9,27>34>42,56>57>58,27>34>1,1,3,1,4,,기후 변화로 인한 예측 불가능한 폭우와 폭염이 점점 심해지는 것 같아 걱정됩니다. 또한 IT 기술이 발달하면서 딥페이크 같은 디지털 성범죄나 개인정보 유출 같은 새로운 유형의 사회적 위험도 관리가 필요하다고 생각합니다.
