uuid,weight,sex,age,edu,region,age_band,occupation,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
0d40f4b14f0541f3b2f43da4abf8f8e7,1.0558,남성,51,대학교 졸업,서울,50-59,기업 고위 임원,5,5,8,9>2>1,51>27>34,56>57>58,9>51>34,1>2,2
17ac759917a946e0a4fc4c6fda3fbf2d,1.5143,남성,63,고졸 이하,서울,60-69,가스 배관공,5,4,10,2>9>5,35>34>46,57>56>63,35>34>2,1>2,2
7f8a4bd9ffb5456aa1eda45ee4cfe57a,1.6426,남성,48,고졸 이하,서울,40-49,음식 서비스 종사원,3,4,8,1>3>9,34>29>35,57>56>63,34>29>1,1>2,2
c4cae7e94fe54137821bb526568a10c4,1.0627,여성,34,대학교 졸업,서울,30-39,일반 비서,4,4,6,13>9>1,42>34>29,56>57>63,42>34>29,1>4,2
c1a19d8bdc474a03b67740e1eb235f9c,1.3668,여성,55,고졸 이하,서울,50-59,국가행정 사무원,5,4,8,1>2>9,34>29>42,56>57>67,34>1>29,1>4,2
bd7675805dcd48b4a1103856cf31b4e1,1.6841,여성,45,대학교 졸업,서울,40-49,무직,4,4,8,2>1>9,34>42>27,56>58>57,34>2>42,1>2,2
5c4e132e49de461dac05cc4e7c321f2d,1.3668,여성,55,고졸 이하,서울,50-59,음식 서비스 종사원,4,4,6,1>9>2,34>27>29,57>64>58,34>1>57,1>4,2
dccdde133dfa4d2f876d9137d608a0d2,0.5873,남성,39,대학교 졸업,부산,30-39,사무 보조원,4,4,8,1>9>2,34>51>29,56>57>67,1>34>29,1>2,2
165839954dbe4d479dcb510d4b3939e9,1.3668,여성,58,고졸 이하,서울,50-59,노점 및 이동 판매원,4,4,2,9>1>10,34>27>29,57>56>67,9>34>1,1>2,2
f9e777dbd3494772be3881517fe3dd45,1.0627,여성,34,대학원 졸업,서울,30-39,입학 사정관,4,4,8,13>2>9,42>34>29,67>56>57,42>34>67,1>4,2
9d8d7bc5de744fae88098630b755302e,0.9516,남성,63,고졸 이하,부산,60-69,무직,4,4,8,1>9>2,34>27>39,56>57>61,34>1>27,1>2,2
9ac38ff04497466c8ec3587255ee3700,1.0627,여성,34,대학교 졸업,서울,30-39,시스템 소프트웨어 프로그래머,4,4,8,9>1>2,34>29>51,56>57>67,34>29>9,1>4,2
a1b6911fe7524dfcb5c748e33e2345af,0.8569,남성,41,대학교 졸업,부산,40-49,금속절곡기 조작원,4,4,1,1>2>9,34>29>27,63>57>68,1>63>34,1>2,2
fccaf171086549e7ada7525be434eefa,0.9544,남성,52,대학교 졸업,부산,50-59,경호원,5,4,8,1>9>2,34>54>29,56>58>59,34>1>54,1>3,2
414b01696f7f4c779665405a62738091,1.6820,여성,68,고졸 이하,서울,60-69,무직,4,4,8,9>2>10,34>27>35,56>57>68,34>9>27,1>3,2
ba1bb5057bed44c9925daf9819620d82,1.1101,남성,39,대학교 졸업,대구,30-39,반려동물 훈련사,4,4,8,9>1>14,34>39>29,56>58>60,34>9>29,1>2,2
c6427c9b520d490fa12c5b27d79af773,0.5873,남성,33,대학원 졸업,부산,30-39,산업 안전원,4,4,6,1>9>21,34>35>46,63>56>61,34>63>1,1>3,1
0e91663673844c1eb832b18086afbd77,1.0627,여성,38,대학교 졸업,서울,30-39,사무 보조원,4,4,8,9>1>2,34>29>27,56>57>67,34>56>29,1>2,2
8452c1299d384c23a8dc677f52e0147b,0.8217,남성,48,대학교 졸업,대구,40-49,철도교통 관제사,5,5,4,9>1>13,31>34>29,58>57>56,31>9>34,1>3,2
ceb10cb47a174d4f8a6f50847b858a7f,0.9544,남성,59,대학교 졸업,부산,50-59,일반 비서,4,4,6,1>2>9,34>35>29,63>56>58,1>34>63,1>4,2
1d7d8e1c79744e309299b81e3d027ad6,1.0769,여성,60,고졸 이하,부산,60-69,무직,4,4,2,1>13>9,34>51>29,58>57>68,1>34>13,1>2,2
f56670caeffe435b8a87208347e1ebf5,0.9928,여성,55,고졸 이하,부산,50-59,건물 청소원,4,4,1,1>2>9,34>35>27,61>58>56,1>34>61,1>2,2
0c6b5d7baa22429285560ce8b4fbc0c8,1.6841,여성,41,고졸 이하,서울,40-49,교육 및 훈련 사무원,4,4,7,1>2>9,29>34>39,57>58>67,34>29>1,1>3,2
a0057fdb202541e982e295e7168c2bb2,1.6820,여성,67,고졸 이하,서울,60-69,무직,4,4,8,9>1>10,34>27>29,56>57>68,34>9>56,1>2,2
faace5a11f524b17b75921d21b752834,1.0769,여성,65,고졸 이하,부산,60-69,무직,4,4,1,1>2>9,34>27>42,68>56>57,1>34>68,1>2,2
c1eaa66b0d2a4bc59bad54f12baa03f9,1.3916,남성,20,대학교 졸업,부산,19-29,경리 사무원,3,4,8,1>9>2,34>51>42,57>61>56,1>34>51,1>2,2
937f5b0e99c641bb8f31e8cd701668e3,0.8569,남성,44,대학교 졸업,부산,40-49,판매 사무원,4,4,1,1>9>13,34>29>51,56>58>61,1>34>29,1>2,2
44b0d24c581248debf33051522ed6848,0.4893,여성,26,대학교 졸업,대구,19-29,무직,4,4,4,9>1>2,29>34>39,68>67>60,9>29>68,1>4,2
f9c107b2478c41faa5f84f97663ae672,1.2465,여성,49,고졸 이하,대구,40-49,관광버스 운전원,5,4,8,2>1>5,29>34>35,56>57>58,29>2>34,1>2,2
869ec9a8291747d2b4cb36fb9acdb03d,0.6476,여성,37,대학교 졸업,대구,30-39,마케팅 전문가,4,4,8,9>11>2,34>51>29,57>64>67,9>34>51,1>2,2
e592ca7ecc72437bb278e1a481ee786a,0.4893,여성,21,대학교 졸업,대구,19-29,무직,3,4,8,9>1>14,34>42>51,56>67>57,34>67>9,1>2,2
d8a2b1be866843ed87d6a1fb3f1cd444,1.1101,남성,34,대학교 졸업,대구,30-39,마케팅 전문가,4,4,8,9>2>13,34>42>27,56>57>58,34>9>27,1>2,2
88caac8a940b4bd89d8e107e7931de77,0.7784,여성,56,대학교 졸업,대구,50-59,교육 및 훈련 사무원,4,4,8,9>13>1,34>51>29,56>57>58,9>34>56,1>3,2
30f54a9091a746d6883e6e907012e64b,0.7784,여성,53,대학교 졸업,대구,50-59,무직,3,4,8,9>1>2,34>27>42,56>67>57,34>9>27,1>2,2
56c4ea57268b4e71b363da3bd8d808bc,1.3971,남성,28,고졸 이하,인천,19-29,무직,4,4,8,1>9>2,34>27>29,56>57>68,34>1>29,1>2,2
9744aa71bb0848ea837e055b3269c4a9,0.9399,남성,56,고졸 이하,인천,50-59,시외 및 고속 버스 운전원,4,4,8,1>2>5,29>34>35,57>56>61,29>34>1,1>2,2
0781360f486944aabef7d32dc55e539a,0.6560,여성,21,대학교 졸업,인천,19-29,무직,3,4,8,1>9>11,34>51>54,67>56>57,34>67>1,1>4,2
eb59bf2eb82d4d77a6a7858c321b561d,0.9605,여성,68,고졸 이하,대구,60-69,무직,4,4,2,9>1>10,34>27>29,68>57>56,9>34>27,1>2,2
430b7894c52a4e0691c7a920808bb3b2,0.7784,여성,53,고졸 이하,대구,50-59,주방 보조원,3,4,8,9>1>10,34>35>27,63>58>56,34>35>9,1>2,2
20f9226243ee44898ad4a04fae00e4d0,1.4970,여성,32,대학교 졸업,인천,30-39,그 외 음료 조리사,3,4,8,1>9>2,34>29>27,57>56>64,34>9>1,1>4,2
1e648d6d783b4b5db218940ce1486edf,0.8396,여성,44,대학교 졸업,인천,40-49,119 구조대원,5,5,8,1>9>2,34>29>35,56>68>58,34>1>29,1>4,1
862909b4769747949f61d2d67fa97cc7,1.4970,여성,32,대학교 졸업,인천,30-39,자재 및 구매 관리자,4,4,8,1>2>9,34>29>35,56>57>58,34>1>29,1>3,2
bbe517a8c99d4712a6a82b9b1e47d56d,1.1544,여성,67,고졸 이하,인천,60-69,무직,4,4,8,9>1>2,34>51>27,56>57>68,34>9>51,1>2,2
1ff21bdecdf549aea6e0251b72f3b1b0,0.8915,남성,41,고졸 이하,인천,40-49,택배원,4,4,8,1>2>9,29>34>42,63>56>57,29>34>1,1>2,2
6a40a406a33041a2b78043f3d0de16fa,0.9399,남성,54,대학교 졸업,인천,50-59,단조원,4,4,8,1>9>2,34>29>27,63>57>56,34>63>1,1>2,2
51e8341e2ace4e83aa3c4bec2c361c3c,0.6560,여성,27,대학원 졸업,인천,19-29,무직,4,4,8,9>1>11,34>42>46,56>67>58,34>42>67,1>4,2
5aad60fc03b946e7ae3836d1fcf3152a,0.4486,남성,69,고졸 이하,광주,60-69,택배원,3,4,4,2>9>1,29>34>35,63>56>57,29>2>34,1>2,2
e2802390cb6a4c918c4d5c230bc406cc,0.5240,남성,49,대학교 졸업,광주,40-49,법무 사무원,4,4,3,14>9>1,34>29>35,56>58>68,14>34>29,1>2,2
df901f2ec50641b39defdc04d71b4716,0.8396,여성,41,고졸 이하,인천,40-49,그 외 돌봄 및 보건 서비스 종사원,4,4,8,9>2>11,34>29>27,56>68>57,34>29>56,1>3,2
964de88b05184346ab77daf32c39a530,0.4486,남성,64,고졸 이하,광주,60-69,건물 칸막이 설치원,4,4,6,9>1>2,34>46>35,63>56>57,34>9>63,1>2,2
4f066ea32a69490cad992d42e20a33a7,0.5240,남성,48,대학교 졸업,광주,40-49,사무 보조원,3,4,2,9>1>2,34>29>42,56>58>57,9>34>29,1>4,2
343a8977034c4acd8d7f179419c8af66,0.6560,여성,27,대학교 졸업,인천,19-29,무직,3,4,8,9>1>2,34>29>27,56>57>67,34>29>9,1>4,2
011fc37a573d44c281e42da27ce13b77,0.5240,남성,40,대학원 졸업,광주,40-49,비행기 조종사,5,5,7,1>2>9,32>34>29,57>56>68,32>1>34,1>3,2
27177e71159f448481a6f0523636c830,0.4433,여성,23,고졸 이하,광주,19-29,시설 경비원,5,4,8,1>9>4,34>35>46,56>57>60,34>14>1,1>2,2
0d877ec3386447a99ec99d263fa7ae47,0.5275,여성,41,대학교 졸업,광주,40-49,관리 비서,4,4,3,14>1>9,34>51>29,56>57>64,34>14>51,1>4,2
5094aea1f7c745e5a84707881cef67a2,0.4873,여성,60,고졸 이하,광주,60-69,무직,4,4,8,9>1>5,34>27>42,56>68>58,34>42>9,1>2,2
6ed002cfbced45cfa10d1141b7e66ecc,0.4433,여성,27,대학교 졸업,광주,19-29,국가행정 사무원,4,4,8,9>1>2,34>29>46,56>67>57,34>29>9,1>4,2
94385bc922014160824c9bcd97a593d5,0.5275,여성,47,대학교 졸업,광주,40-49,범용 소프트웨어 프로그래머,4,4,2,9>13>1,42>34>27,56>67>58,9>34>42,1>4,2
6c0dbfe7378b478ba932ed442f141de3,0.7524,남성,37,대학교 졸업,대전,30-39,품질 관리 사무원,4,4,7,2>9>11,34>29>35,57>58>56,34>29>2,1>3,2
62070a73e4004ab4804d69eaab03bdbf,0.5275,여성,42,고졸 이하,광주,40-49,무직,4,4,8,1>2>9,34>27>42,56>64>67,2>34>64,1>2,2
4ad4649ce8e344588da46d2349d3b2e8,0.7796,남성,19,고졸 이하,대전,19-29,무직,3,3,8,9>11>2,27>42>34,56>64>57,34>27>9,1>4,2
f3b18a937d89497bb92852f6851b6a48,0.7796,남성,29,대학원 졸업,대전,19-29,영업 관리 사무원,4,4,8,2>9>14,34>46>29,56>57>58,34>29>46,1>2,2
ba8e2ce5780c44ca831b3769b356ea67,0.4427,남성,59,고졸 이하,대전,50-59,승용차 및 승합차 운전원,4,4,4,2>5>9,29>34>35,57>56>58,29>34>2,1>3,2
6a8e82a045274920903394d51d965287,0.3847,여성,49,대학교 졸업,대전,40-49,무직,4,4,8,9>1>2,42>34>35,56>67>60,34>9>42,1>2,2
6ce8bd5295f24fb7a8e4749da9ca72b9,0.3847,여성,45,고졸 이하,대전,40-49,무직,3,4,8,9>1>11,34>27>29,56>59>68,34>9>27,1>4,2
1913db43daa54370a254b06b29cb94b3,0.8917,여성,58,고졸 이하,대전,50-59,한식 조리사,4,4,8,1>9>13,34>29>27,58>56>64,34>9>29,1>2,2
b9dbbafc836e4e8283fa981ca96698b1,0.5163,남성,26,대학교 졸업,울산,19-29,전자제품 개발 기술자 및 연구원,4,4,8,1>9>2,38>35>34,56>57>63,38>34>29,1>3,2
7775c3357a894a8492f23b11dea9b5be,0.5223,여성,64,고졸 이하,대전,60-69,무직,4,4,8,9>1>11,34>35>27,56>58>57,34>9>56,1>4,2
5829ae64a6d643c59dd5a14783836f6a,0.7190,여성,25,대학교 졸업,대전,19-29,소규모 상점 일선 관리 종사원,4,4,8,1>9>2,34>29>27,56>57>60,34>9>29,1>4,2
bb8e2554cb02418693955ee112ce4f47,0.4420,여성,32,대학교 졸업,대전,30-39,보험 사무원,4,4,8,9>2>1,34>29>27,56>57>68,34>29>9,1>2,2
d37babdb6dac48d7b8c1e214d7e0d259,0.6444,남성,46,대학교 졸업,울산,40-49,머시닝센터 조작원,4,4,6,1>9>2,34>42>29,63>56>57,34>63>42,1>2,2
9d8430156c3b4da18dd3f2b849d5173c,0.7337,남성,52,고졸 이하,울산,50-59,선반기 조작원,4,4,6,1>9>2,34>40>29,63>56>57,63>34>1,1>2,2
7489be004e9b455fad567d7180f7415d,0.6560,남성,66,고졸 이하,울산,60-69,강구조물 건립원,5,4,9,1>9>13,34>38>46,63>58>56,63>34>9,1>3,2
3fb36d1f2782461481a9e42b60da6834,0.6560,남성,69,고졸 이하,울산,60-69,무직,4,4,6,1>2>9,34>35>27,58>68>57,34>1>35,1>2,2
39e30f61e36d478d97a107f73d73867f,0.3844,여성,19,고졸 이하,울산,19-29,무직,3,4,8,1>9>2,40>34>27,56>61>57,34>40>1,1>2,2
a69ac0164bb7417bb15d8a1dc836488d,0.4873,여성,64,고졸 이하,광주,60-69,무직,4,4,8,9>1>2,42>34>51,56>68>57,34>9>56,1>4,2
c1bf18bdfc3743569efa37ad2eec4f5e,0.5163,남성,27,고졸 이하,울산,19-29,차량 도장기 조작원,4,4,6,1>9>11,34>38>29,63>56>57,63>34>1,1>2,2
74c521dbb77940d68a2568547e8e8496,0.1062,남성,30,대학교 졸업,세종,30-39,사회과학·경영 및 법학 교수,4,4,9,2>9>1,34>46>27,58>64>63,34>29>2,1>2,4
cc043407183f4532b27ea74d8d0be5be,0.5223,여성,60,고졸 이하,대전,60-69,출판 및 자료편집 사무원,4,4,1,1>2>9,34>27>29,56>57>68,34>1>27,1>2,2
43a3f84e5a57464288fb944cd0f9d91b,0.6431,여성,65,고졸 이하,울산,60-69,무직,4,4,8,1>9>2,34>40>35,56>68>57,34>1>40,1>3,2
3be9206b6dff42a290d218c02247f36e,0.4420,여성,34,대학원 졸업,대전,30-39,소규모 상점 경영자,4,4,8,1>9>2,34>42>51,56>57>67,34>51>67,1>2,2
1d7d484eb43c4529a017edcbd0797c49,0.1062,남성,38,대학교 졸업,세종,30-39,일반 비서,4,4,6,9>2>1,34>29>35,63>57>58,63>29>9,1>2,2
d81b0304a4a640ec870a779cdd1413f2,0.6007,여성,45,대학원 졸업,울산,40-49,마케팅 전문가,4,4,1,1>9>11,34>29>42,68>60>58,1>34>9,1>5,2
d8d65f3c10ea4c72ba4f716d7e614d92,0.1442,여성,67,고졸 이하,세종,60-69,무직,4,4,8,9>1>2,34>27>29,56>57>68,34>9>27,1>2,2
187d5211abca4b1a95d8e846586bd605,1.8749,남성,23,대학교 졸업,경기,19-29,경리 사무원,3,4,6,9>1>2,34>35>29,63>56>57,34>63>29,1>2,2
ba6fed1aff5a4b8eac0fb393fff86f7d,1.8749,남성,27,대학교 졸업,경기,19-29,금속공학 기술자 및 연구원,4,4,6,1>9>13,34>46>29,63>58>56,34>63>1,1>6,2
052b577ef6ae4ddc90ab1eefe8842a06,1.8749,남성,26,대학교 졸업,경기,19-29,우편집배원,4,4,6,9>2>1,29>34>42,57>68>67,29>34>9,1>2,2
9449fa524a9f44b28f34c5aa0c7c87d8,0.2162,여성,33,대학교 졸업,세종,30-39,무직,4,4,8,9>1>14,27>34>42,56>64>57,27>34>9,1>3,2
0205f148e28c41f1a029d89dc5c1a905,0.2872,여성,48,고졸 이하,세종,40-49,요양 보호사,4,4,8,9>1>14,27>34>29,68>56>57,9>34>27,1>3,2
9ad0ce8c3e5e45ea9916c13b33d96c7c,1.8362,남성,33,대학교 졸업,경기,30-39,상·하수 배관공,3,4,1,2>1>5,49>29>35,63>57>64,2>29>63,1>2,2
845d0da974874f98a68fbcbbbf85004e,0.2941,여성,22,대학교 졸업,세종,19-29,주방 보조원,4,4,6,9>2>1,34>27>29,63>64>57,63>9>34,1>2,2
ca68e94114184577a06075c41c47101a,1.8155,남성,46,대학교 졸업,경기,40-49,전기 용접원,4,4,6,1>2>9,34>29>35,63>56>57,34>63>29,1>2,2
7249f6badc0d4931af4e0139ffef8c86,1.7323,남성,53,대학교 졸업,경기,50-59,산업 안전원,5,4,6,9>1>13,34>29>42,63>56>68,63>34>29,1>3,2
7a0b226726fa425b9915449f39c3be09,1.8362,남성,30,대학교 졸업,경기,30-39,사무 보조원,3,4,7,1>2>9,29>34>42,56>63>67,29>34>1,1>2,2
0722b7a3153a4aad96c70ed941a7d863,1.8155,남성,40,고졸 이하,경기,40-49,그 외 자동차 운전원,4,4,5,1>2>9,29>34>41,63>57>56,29>34>1,1>2,2
7f1e5e1553f544098fb5724e3248be68,1.8362,남성,37,고졸 이하,경기,30-39,그 외 법률 관련 사무원,4,4,8,1>2>9,34>35>29,56>57>58,34>1>29,1>2,2
ef19025c0dda4dfa97cd22e29a7e5f4b,1.7323,남성,58,대학교 졸업,경기,50-59,무직,4,4,8,9>1>2,34>35>29,56>57>58,34>29>9,1>2,2
ee3a31907c144a349eee1d1ab73a82c3,0.2872,여성,46,대학교 졸업,세종,40-49,그 외 상점 판매원,4,4,8,1>2>9,34>29>42,56>57>58,34>29>1,1>3,2
258a3dc1b8064669b786f0f4214a5a65,1.8749,남성,28,대학교 졸업,경기,19-29,무직,4,4,7,9>1>2,34>51>42,56>57>58,34>9>51,1>4,2
ca7769576fbf4df8812b4a9786b42714,1.7323,남성,59,고졸 이하,경기,50-59,무직,4,4,2,2>9>1,34>27>42,56>57>68,34>2>9,1>5,2
3c081b1096534a8f89549fc8471aba19,1.7323,남성,55,고졸 이하,경기,50-59,"전직 경리 사무원, 현재 구직중",3,4,6,2>9>1,34>35>29,56>57>63,29>34>35,1>2,2
2e00a14f9f58425bb859152a5fea1727,1.7323,남성,57,고졸 이하,경기,50-59,영상·전자음향기기 설치 및 수리원,4,4,6,1>9>2,34>29>35,56>57>63,34>29>1,1>2,2
da40de9c5ec441f5aea92810f538bc8d,1.7663,남성,63,대학교 졸업,경기,60-69,무직,4,4,8,2>9>5,34>29>42,56>57>58,34>2>56,1>2,2
9527423960d34a8b8cbf608887e2eabf,1.7663,남성,69,고졸 이하,경기,60-69,무직,4,4,8,9>1>2,34>35>27,57>56>68,34>9>35,1>2,2
b204516110d149169968e7cadf2190aa,1.7663,남성,64,대학원 졸업,경기,60-69,화학제품 생산 관리자,5,4,6,9>1>11,38>34>27,63>56>57,38>34>9,1>3,2
916d3554fb504222aa3ada9697d35828,1.7663,남성,61,고졸 이하,경기,60-69,건물 경비원,4,4,8,1>2>9,34>35>46,56>57>60,34>56>1,1>2,2
a7bb501917b747bfb21562141e4785eb,1.7663,남성,66,대학교 졸업,경기,60-69,토목시공 기술자,4,4,6,13>1>9,34>46>35,56>58>63,13>34>46,1>2,2
a7bcbd3d03b24c53be1eb9588858dd0a,1.7663,남성,66,고졸 이하,경기,60-69,음식 배달원,4,4,1,1>2>9,29>34>27,56>57>67,29>1>34,1>2,2
3c5af92f96954ee697c3ccf569ae1556,1.9973,여성,25,대학교 졸업,경기,19-29,"전직 경리 사무원, 현재 구직중",4,4,8,1>9>2,27>34>42,56>64>68,34>27>56,1>2,2
39e01aed539d41c19f0eb54620d6446f,1.9614,여성,41,대학교 졸업,경기,40-49,무직,4,4,6,9>1>2,34>42>29,56>57>68,34>9>42,1>3,2
53b8310dd74d4698b53d6be2a25cc3fd,1.7154,여성,52,대학교 졸업,경기,50-59,치과 일반 의사,4,4,6,9>1>2,27>34>42,68>56>58,27>9>34,1>4,2
6969e509ad74457b943c028056b9503f,1.9973,여성,23,고졸 이하,경기,19-29,무직,3,4,8,9>1>2,42>27>34,56>58>67,42>9>34,1>3,2
7c5f9c8554cb45ef92c14208c6e46a95,1.7154,여성,51,고졸 이하,경기,50-59,대출 모집인,4,4,6,1>9>3,34>51>39,56>57>63,34>1>51,1>2,2
ff1e7397708640a8aa328819850facb1,1.7742,여성,61,고졸 이하,경기,60-69,무직,4,4,8,1>9>5,34>27>51,56>68>57,34>9>27,1>2,2
e4e791142364427f82e2bf05747a0810,0.6819,남성,69,고졸 이하,강원,60-69,농업 단순 종사원,4,4,2,2>13>9,33>27>34,62>68>57,2>13>33,1>2,2
ba4d7d095f6a4592841e362649465a01,1.6703,여성,34,대학교 졸업,경기,30-39,무직,3,4,8,9>11>2,27>34>29,56>57>58,27>34>9,1>4,2
3217fa07fa104da08504e6b58bc7d460,1.7154,여성,58,고졸 이하,경기,50-59,전화 상담원,4,4,8,9>1>10,34>51>29,56>57>68,34>51>56,1>2,2
47e9daca60864ae790414334f1e1a149,1.9973,여성,23,대학교 졸업,경기,19-29,무직,4,4,8,9>11>1,34>51>29,67>56>57,67>34>56,1>4,2
9670c8cd9e8f45ef976682b3c766017d,1.6703,여성,38,고졸 이하,경기,30-39,매장 계산원,3,4,8,2>9>1,34>29>27,56>64>57,34>29>2,1>2,2
eb5cd4fabcf14df9b8acc537ee22b7da,1.7154,여성,59,고졸 이하,경기,50-59,사무 보조원,4,4,8,1>2>9,34>27>42,56>57>58,34>27>1,1>2,2
2a31cbd4702642e1a25bfa8cf8198f03,1.7154,여성,58,고졸 이하,경기,50-59,그 외 물품 이동 장비 조작원,4,4,6,9>1>2,34>29>27,63>56>57,34>63>29,1>2,2
489897ac36904d80803bd9ae3d3509ed,1.9973,여성,27,대학교 졸업,경기,19-29,경리 사무원,3,4,8,9>1>2,34>42>51,56>58>57,34>56>9,1>2,2
a7e814a8ef814109a8e445b8c722a82f,1.6703,여성,38,대학교 졸업,경기,30-39,유치원 교사,5,4,8,2>9>1,27>34>42,68>56>59,68>27>34,1>3,2
5d1c308cd5d54a689abea62a8579b46f,1.6703,여성,32,대학교 졸업,경기,30-39,보육 관련 시설 서비스 종사원,4,4,8,9>11>2,27>34>29,56>64>67,34>27>29,1>3,2
0c57c1d441df4e6298b59db30b7d2198,0.6658,남성,26,고졸 이하,강원,19-29,시설 경비원,5,4,10,13>2>9,34>29>35,58>63>56,34>13>29,1>2,2
85372e644cb547a786f1a9fc2f07ab3c,0.9202,여성,55,고졸 이하,강원,50-59,소규모 상점 경영자,4,4,8,1>5>2,34>29>35,56>57>61,34>1>29,1>2,2
d850ada445074998b0b52b9a7eb32bb0,0.5118,남성,57,대학교 졸업,충북,50-59,"전직 식품 생산 관리자, 현재 구직중",4,4,6,9>2>1,34>27>42,58>57>56,9>34>2,1>2,2
9cd5f60b1fdd445c9640c369a9ef28e4,0.5294,여성,24,고졸 이하,강원,19-29,무직,3,4,8,1>2>5,34>29>27,56>57>61,34>1>29,1>2,2
e2fc2b78e5c64d26b935ece6c286a7ae,0.5118,남성,50,고졸 이하,충북,50-59,교육 및 훈련 사무원,4,4,6,9>2>1,34>29>35,56>63>58,34>9>29,1>2,2
a630283628574b2eb2678a96ad66766f,0.7387,남성,26,고졸 이하,충북,19-29,그 외 스포츠 및 레크리에이션 관련 전문가,3,4,8,1>9>10,34>29>42,56>58>57,34>29>1,1>2,2
6fe3776f5b2e4b3da56f1d64cf6d166b,0.6779,여성,69,고졸 이하,강원,60-69,무직,4,4,8,2>9>10,34>27>42,56>68>64,34>2>27,1>2,2
802e39f37db84045ad611a2d1b58c0fd,1.9614,여성,46,고졸 이하,경기,40-49,전기 용접원,4,4,6,1>9>2,34>35>38,63>57>56,63>34>35,1>3,2
36c37579b2a1414183399e4fafe9b82b,0.6779,여성,60,고졸 이하,강원,60-69,무직,4,4,1,1>2>9,34>27>42,68>56>61,1>34>68,1>2,2
1e206d3a3eb44c48a761a265e8c7938f,0.9701,여성,53,대학교 졸업,충북,50-59,무직,3,4,2,9>2>11,34>42>51,57>56>58,34>9>42,1>4,2
7c071ca455f04d54a8fdb7b2cec9e147,0.8470,남성,45,대학교 졸업,충북,40-49,무직,4,4,8,2>13>9,34>35>29,57>58>59,2>34>9,1>2,2
